regime,country,variable,coef,se,t,p,nobs,maxlags_used
FIN,Germany,mcap_gdp,0.08676826521053001,0.03998820354798968,2.1698465425284676,0.030018473164193003,43,2
FIN,Norway,liquid_liabilities,0.21443449954897625,0.2324980813714253,0.9223065338178351,0.3563687068750351,43,2
FIN,Norway,bank_loans_gdp,-0.3249811575654297,0.1025368963880461,-3.169407003851118,0.0015275033090786849,43,2
FIN,Norway,mcap_gdp,0.09695059274601162,0.046726539182731876,2.074850704582898,0.03800037359650568,43,2
FIN,Sweden,liquid_liabilities,-0.16296683538416745,0.08259681153441369,-1.9730402706437145,0.04849097441608546,43,2
FIN,Sweden,bank_loans_gdp,-0.046975188968491614,0.039192629939713584,-1.1985720029696711,0.23069440992125811,43,2
FIN,Sweden,mcap_gdp,0.05145580348218138,0.014907567371327675,3.4516566117385725,0.0005571563090327281,43,2
FIN,Switzerland,liquid_liabilities,-0.21776932568556828,0.07696626862522235,-2.8294125410440367,0.004663354390632366,43,2
FIN,Switzerland,bank_loans_gdp,0.20970543514826537,0.10501360780451702,1.996935821295011,0.04583215525319059,43,2
FIN,Switzerland,mcap_gdp,0.026962286809819245,0.008342877752505183,3.2317729696714137,0.0012302475764070914,43,2
FIN,United Kingdom,liquid_liabilities,-0.15996428870588236,0.0722835978304653,-2.213009500178232,0.02689699068525342,43,2
FIN,United Kingdom,bank_loans_gdp,-0.015603308659929985,0.06807040977626001,-0.22922307521309704,0.8186955385748925,43,2
FIN,United Kingdom,mcap_gdp,0.03986509101381463,0.015359080053407513,2.5955389824907056,0.009444268900976209,43,2
FIN,United States,liquid_liabilities,-0.14890063518983537,0.08370620890465434,-1.778848154017354,0.07526466002309615,43,2
FIN,United States,bank_loans_gdp,0.1493586989922933,0.12787469999532514,1.1680082064532982,0.24280345467629105,43,2
FIN,United States,mcap_gdp,0.040465289036953886,0.01768455785098724,2.2881708085619406,0.02212757597242274,43,2
